"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"9301",71461,1,1,2,2,2,2,2,2,2,4,0.97,1,NA,NA
"9302",71462,1,2,2,2,2,2,2,2,2,5,1.1,1,2,1
"9303",71463,1,2,2,2,2,2,2,2,1,6,1,1,NA,NA
"9304",71464,1,2,2,2,2,2,1,2,2,5,1.07,1,2,1
"9305",71465,1,2,2,2,2,2,2,2,2,6,2.87,3,NA,NA
"9306",71466,2,2,2,2,2,2,2,2,2,2,0.18,1,2,1
"9307",71467,1,2,2,2,2,2,2,2,2,8,2.46,3,NA,NA
"9308",71468,2,2,2,2,2,1,2,2,2,2,0.75,1,2,1
"9309",71469,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9310",71470,2,2,1,2,1,2,2,1,2,6,1.72,2,NA,NA
"9311",71471,2,1,2,2,2,2,2,1,1,9,2.68,3,1,NA
"9312",71472,2,2,2,2,2,1,2,2,2,2,0.24,1,2,99
"9313",71473,2,1,2,2,2,2,2,2,2,9,4.08,3,NA,NA
"9314",71474,1,2,1,2,2,1,2,2,2,2,0.39,1,2,1
"9315",71475,1,2,2,2,2,2,2,2,2,3,0.78,1,2,1
"9316",71476,1,2,2,2,2,2,2,2,1,7,2.07,3,NA,NA
"9317",71477,2,2,1,2,2,2,2,2,2,3,0.63,1,2,1
"9318",71478,1,2,2,2,2,2,2,2,2,3,0.55,1,2,1
"9319",71479,1,2,2,2,2,2,2,2,2,11,2.75,3,NA,NA
"9320",71480,1,2,2,2,2,2,2,2,2,7,1.6,2,9,NA
"9321",71481,1,2,2,2,2,2,2,2,1,7,1.56,2,2,1
"9322",71482,1,2,2,2,2,2,2,2,1,8,2.03,3,NA,NA
"9323",71483,2,2,1,2,1,2,2,1,2,7,2.45,3,NA,NA
"9324",71484,1,2,1,2,1,2,2,1,2,6,1.45,2,1,NA
"9325",71485,1,2,2,2,2,2,1,2,2,8,1.78,2,1,NA
"9326",71486,2,2,2,2,2,2,1,2,2,5,1.26,1,2,1
"9327",71487,1,2,2,1,2,2,2,2,2,6,1.34,2,2,3
"9328",71488,1,1,2,2,2,2,2,2,2,3,0.65,1,2,1
"9329",71489,1,2,1,2,1,2,2,2,2,8,3.57,3,NA,NA
"9330",71490,1,2,2,2,2,2,2,2,2,77,NA,2,2,1
"9331",71491,1,2,2,2,2,2,2,2,2,5,0.7,1,2,1
"9332",71492,2,2,2,2,2,2,1,2,1,7,1.1,1,2,1
"9333",71493,1,2,2,2,2,2,2,1,2,7,2.45,3,NA,NA
"9334",71494,2,2,2,2,2,2,2,2,2,10,5,3,1,NA
"9335",71495,1,2,2,2,2,2,2,2,2,5,0.94,1,2,1
"9336",71496,1,2,2,2,2,2,2,2,2,3,1.29,1,2,1
"9337",71497,2,2,1,2,2,1,1,2,2,2,0.55,1,2,1
"9338",71498,1,2,2,2,2,2,1,2,2,3,0.62,1,2,1
"9339",71499,1,2,2,2,2,2,2,1,1,12,5,3,NA,NA
"9340",71500,1,2,2,2,2,2,2,1,2,11,3.21,3,NA,NA
"9341",71501,1,2,2,2,2,2,2,2,2,11,3.64,3,NA,NA
"9342",71502,1,2,2,2,2,2,2,2,1,4,0.7,1,2,1
"9343",71503,1,2,2,2,2,2,2,2,1,7,3.22,3,NA,NA
"9344",71504,1,2,2,2,2,2,2,2,2,3,0.52,1,2,1
"9345",71505,1,2,2,2,2,2,2,2,2,5,1.59,2,NA,NA
"9346",71506,1,1,2,1,2,2,2,1,2,10,3.77,3,NA,NA
"9347",71507,1,2,2,2,2,2,1,2,2,2,0.32,1,2,1
"9348",71508,1,2,2,2,2,2,2,2,2,3,0.82,1,2,1
"9349",71509,1,1,2,2,2,2,2,2,2,99,NA,9,1,NA
"9350",71510,2,2,1,2,1,2,2,1,2,5,1.13,1,9,NA
"9351",71511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9352",71512,1,1,2,2,2,2,2,2,2,4,0.78,1,2,1
"9353",71513,1,2,2,2,2,2,2,2,2,6,1.35,2,2,1
"9354",71514,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9355",71515,1,2,2,2,2,2,2,2,1,11,4.4,3,NA,NA
"9356",71516,1,2,2,2,2,2,2,2,2,10,5,3,NA,NA
"9357",71517,1,2,2,1,2,2,2,2,2,6,1.49,2,2,2
"9358",71518,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9359",71519,1,2,2,2,2,2,2,2,1,3,0.64,1,2,1
"9360",71520,1,2,2,2,2,2,2,2,2,99,NA,3,2,2
"9361",71521,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"9362",71522,2,2,1,1,2,1,2,1,1,5,1.13,1,2,1
"9363",71523,1,2,2,2,2,2,2,2,2,7,1.6,2,9,NA
"9364",71524,1,2,2,2,2,2,2,2,2,77,NA,3,1,NA
"9365",71525,2,2,1,2,1,2,2,2,2,7,2.38,3,NA,NA
"9366",71526,1,2,2,2,2,2,2,2,2,12,4.59,3,NA,NA
"9367",71527,1,2,1,2,2,2,2,2,1,4,0.86,1,2,1
"9368",71528,1,2,2,2,2,2,2,2,2,10,3.12,3,NA,NA
"9369",71529,1,2,2,2,2,2,2,1,2,10,4.89,3,NA,NA
"9370",71530,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9371",71531,2,2,1,1,2,1,2,2,2,2,0.75,1,2,1
"9372",71532,1,1,2,1,2,2,2,2,2,2,0.31,1,2,1
"9373",71533,2,2,2,2,2,2,1,2,1,4,1.31,2,2,1
"9374",71534,2,2,1,2,2,2,2,1,2,8,3.26,3,NA,NA
"9375",71535,1,2,2,2,2,2,2,2,2,9,2.46,3,NA,NA
"9376",71536,1,2,2,2,2,2,2,2,2,1,0,1,2,1
"9377",71537,1,2,2,2,2,2,2,2,2,4,1.1,1,2,1
"9378",71538,2,2,1,2,2,1,2,2,2,4,0.59,1,2,1
"9379",71539,1,2,2,2,2,1,2,2,2,NA,NA,NA,NA,NA
"9380",71540,1,2,2,2,2,2,2,2,2,7,1.33,2,2,1
"9381",71541,1,1,2,2,2,2,2,2,2,8,2.59,3,2,1
"9382",71542,1,2,1,2,1,2,2,2,2,11,5,3,NA,NA
"9383",71543,1,1,2,2,2,2,2,2,2,3,0.64,1,2,1
"9384",71544,1,1,2,2,2,2,2,1,2,9,2.6,3,NA,NA
"9385",71545,1,2,2,2,2,2,2,1,2,9,4.31,3,NA,NA
"9386",71546,2,2,2,2,2,1,2,2,2,5,0.83,1,2,1
"9387",71547,1,2,2,2,2,2,2,2,2,5,2.15,3,2,2
"9388",71548,1,2,2,2,2,2,2,2,2,3,0.53,1,2,1
"9389",71549,2,2,1,2,2,1,2,2,1,5,2.04,3,1,NA
"9390",71550,1,2,2,2,2,2,2,2,2,5,1.26,1,2,1
"9391",71551,1,2,2,2,2,1,2,2,1,9,1.45,2,NA,NA
"9392",71552,2,2,1,1,2,2,2,2,2,4,1.06,1,2,1
"9393",71553,2,2,2,2,2,1,1,2,2,3,0.37,1,2,1
"9394",71554,1,2,2,2,2,2,2,2,1,3,0.36,1,2,1
"9395",71555,2,2,2,1,1,2,2,2,2,5,1.43,2,2,1
"9396",71556,1,2,2,2,2,2,2,2,2,4,0.71,1,2,1
"9397",71557,1,2,2,2,2,2,1,2,2,12,3.33,3,NA,NA
"9398",71558,1,2,2,2,2,2,1,2,2,3,0.39,1,2,1
"9399",71559,1,1,2,2,2,2,2,2,2,2,0.32,1,2,1
"9400",71560,2,2,1,2,2,2,2,2,2,5,1.43,2,2,1
"9401",71561,1,2,2,2,2,2,2,1,2,11,4.3,3,NA,NA
"9402",71562,1,2,2,2,2,2,2,2,2,99,NA,9,NA,NA
"9403",71563,1,2,2,2,2,2,2,2,2,4,0.71,1,2,1
"9404",71564,1,2,1,2,2,1,2,2,1,3,0.36,1,2,1
"9405",71565,1,2,2,2,2,2,2,2,2,7,2.54,3,NA,NA
"9406",71566,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"9407",71567,1,1,2,2,2,2,2,1,2,3,1.1,1,2,1
"9408",71568,1,2,1,2,1,2,2,2,2,7,1.49,2,2,1
"9409",71569,1,2,2,2,2,2,2,2,2,6,2.75,3,NA,NA
"9410",71570,1,2,2,2,2,2,2,2,2,4,0.94,1,2,1
"9411",71571,1,2,2,2,2,2,2,2,2,7,2.94,3,NA,NA
"9412",71572,1,2,2,2,2,2,2,1,2,8,2.15,3,NA,NA
"9413",71573,1,2,2,2,2,2,2,2,2,10,3.12,3,NA,NA
"9414",71574,1,2,2,2,2,2,2,2,2,6,1.18,1,2,1
"9415",71575,1,2,2,2,2,2,2,2,2,3,0.78,1,2,77
"9416",71576,1,2,2,2,2,2,1,2,2,4,0.58,1,2,1
"9417",71577,1,2,1,2,1,2,2,2,2,3,0.92,1,2,2
"9418",71578,1,1,2,2,2,2,2,2,2,5,0.89,1,2,1
"9419",71579,1,2,2,2,2,2,2,2,2,3,0.65,1,2,1
"9420",71580,1,2,1,2,2,1,2,2,2,7,1.89,3,NA,NA
"9421",71581,1,2,1,2,2,2,2,2,2,7,1.82,2,NA,NA
"9422",71582,1,2,2,2,2,2,2,2,2,5,0.89,1,2,1
"9423",71583,1,2,1,2,1,2,2,1,2,99,NA,3,2,1
"9424",71584,1,2,2,1,1,2,2,2,2,11,5,3,NA,NA
"9425",71585,1,2,2,2,2,2,2,2,2,8,2.08,3,NA,NA
"9426",71586,1,2,2,2,2,2,2,2,1,7,2.86,3,2,2
"9427",71587,1,2,2,2,2,2,2,1,2,9,2.6,3,NA,NA
"9428",71588,1,1,2,2,2,2,2,1,2,11,2.23,3,NA,NA
"9429",71589,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1
"9430",71590,1,1,2,2,2,2,2,2,1,9,2.6,3,NA,NA
"9431",71591,1,2,2,1,2,2,2,2,2,3,0.82,1,2,1
"9432",71592,1,2,2,2,2,2,2,2,2,5,0.83,1,NA,NA
"9433",71593,2,1,2,2,2,1,2,2,2,4,0.83,1,2,1
"9434",71594,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"9435",71595,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"9436",71596,1,2,2,2,2,2,1,2,2,4,0.58,1,2,1
"9437",71597,1,1,2,2,2,2,2,2,2,99,NA,1,2,1
"9438",71598,1,2,2,2,2,2,2,2,2,9,3.24,3,NA,NA
"9439",71599,1,2,2,1,1,2,2,7,2,99,NA,3,NA,NA
"9440",71600,1,2,1,2,2,2,2,2,2,3,0.43,1,2,1
"9441",71601,1,2,1,2,2,1,2,2,1,5,0.78,1,2,1
