Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
101,83832,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.96,3.0,2.0,1.0,1.0
102,83833,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.58,2.0,2.0,1.0,1.0
103,83834,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.01,1.0,2.0,1.0,1.0
104,83835,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.36,1.0,2.0,1.0,1.0
105,83836,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.11,1.0,2.0,1.0,1.0
106,83837,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.63,2.0,2.0,1.0,2.0
107,83838,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,0.74,1.0,2.0,1.0,1.0
108,83839,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,3.46,3.0,1.0,,1.0
109,83840,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.31,2.0,2.0,1.0,1.0
110,83841,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,3.46,3.0,1.0,,1.0
111,83842,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,2.08,3.0,1.0,,1.0
112,83843,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.43,2.0,1.0,,1.0
113,83844,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.96,3.0,2.0,1.0,1.0
114,83845,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.05,1.0,2.0,1.0,1.0
115,83846,,,,,,,,,,,,,,,
116,83847,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,,3.0,1.0,,1.0
117,83848,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,2.0,1.0,1.0
118,83849,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,1.58,2.0,1.0,,1.0
119,83850,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,99.0,,3.0,9.0,,1.0
120,83851,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,2.23,3.0,2.0,1.0,1.0
121,83852,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
122,83853,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,1.0,,1.0
123,83854,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.46,3.0,2.0,4.0,1.0
124,83855,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,1.98,3.0,2.0,4.0,1.0
125,83856,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.53,2.0,2.0,1.0,1.0
126,83857,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,1.0,,1.0
127,83858,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,99.0,,9.0,2.0,1.0,1.0
128,83859,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.32,1.0,2.0,1.0,1.0
129,83860,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,12.0,4.44,3.0,2.0,3.0,1.0
130,83861,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,3.54,3.0,1.0,,1.0
131,83862,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,99.0,,9.0,2.0,99.0,2.0
132,83863,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.53,3.0,2.0,1.0,1.0
133,83864,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.45,1.0,2.0,1.0,7.0
134,83865,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,1.98,3.0,2.0,1.0,1.0
135,83866,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,11.0,4.18,3.0,9.0,,1.0
136,83867,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.57,3.0,2.0,1.0,2.0
137,83868,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.16,3.0,1.0,,1.0
138,83869,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.35,2.0,2.0,1.0,1.0
139,83870,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.69,2.0,2.0,1.0,1.0
140,83871,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,0.65,1.0,2.0,1.0,1.0
141,83872,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,99.0,,9.0,2.0,1.0,2.0
142,83873,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,3.82,3.0,1.0,,1.0
143,83874,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.66,1.0,2.0,1.0,4.0
144,83875,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,2.61,3.0,2.0,3.0,1.0
145,83876,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.81,1.0,2.0,3.0,1.0
146,83877,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.51,3.0,2.0,1.0,1.0
147,83878,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,77.0,,1.0,2.0,1.0,1.0
148,83879,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,3.8,3.0,1.0,,1.0
149,83880,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,0.52,1.0,2.0,2.0,1.0
150,83881,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,1.88,3.0,1.0,,1.0
151,83882,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,9.0,2.0,1.0,1.0
152,83883,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.71,1.0,2.0,1.0,3.0
153,83884,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,0.69,1.0,2.0,1.0,1.0
154,83885,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.37,3.0,2.0,2.0,1.0
155,83886,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.8,2.0,2.0,4.0,1.0
156,83887,9.0,2.0,9.0,2.0,2.0,2.0,9.0,2.0,2.0,99.0,,9.0,2.0,1.0,6.0
157,83888,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.14,1.0,2.0,1.0,1.0
158,83889,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,4.08,3.0,2.0,1.0,1.0
159,83890,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.69,2.0,2.0,1.0,1.0
160,83891,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.06,3.0,1.0,,1.0
161,83892,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.4,1.0,2.0,1.0,1.0
162,83893,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.12,1.0,2.0,1.0,3.0
163,83894,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,1.14,1.0,2.0,1.0,1.0
164,83895,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0,8.0
