SEQN,Monthly family income,Total household income,Total family income,education level,Year
62778,11,14,14,5,2011.2012
62780,12,15,15,5,2011.2012
62781,5,5,5,2,2011.2012
62783,3,4,4,3,2011.2012
62784,7,7,7,4,2011.2012
62785,9,14,14,5,2011.2012
62786,3,4,4,3,2011.2012
62787,12,15,15,5,2011.2012
62788,6,4,4,1,2011.2012
62789,4,6,5,4,2011.2012
62791,5,5,5,3,2011.2012
62792,3,3,3,4,2011.2012
62793,6,15,15,3,2011.2012
62794,5,8,8,5,2011.2012
62798,5,6,6,2,2011.2012
62800,9,9,9,3,2011.2012
62801,2,3,3,2,2011.2012
62802,6,6,6,4,2011.2012
62803,11,14,14,4,2011.2012
62804,10,14,14,5,2011.2012
62805,10,9,9,5,2011.2012
62806,2,4,2,2,2011.2012
62807,8,9,9,4,2011.2012
62809,4,1,1,3,2011.2012
62810,5,6,6,2,2011.2012
62811,1,12,6,5,2011.2012
62813,3,3,3,4,2011.2012
62814,4,5,5,2,2011.2012
62815,7,8,8,4,2011.2012
62816,3,7,4,4,2011.2012
62817,4,6,3,3,2011.2012
62818,6,7,7,4,2011.2012
62819,7,8,8,4,2011.2012
62820,4,4,4,1,2011.2012
62821,6,7,6,3,2011.2012
62822,1,8,4,5,2011.2012
62823,1,1,1,2,2011.2012
62824,12,14,14,5,2011.2012
62825,5,7,7,1,2011.2012
62826,3,3,3,1,2011.2012
62828,2,7,2,3,2011.2012
62830,11,14,14,5,2011.2012
62832,1,3,3,2,2011.2012
62833,2,1,1,1,2011.2012
62834,3,6,6,3,2011.2012
62835,11,14,14,4,2011.2012
62836,4,4,4,3,2011.2012
62838,2,12,3,5,2011.2012
62839,4,4,4,4,2011.2012
62840,6,5,5,3,2011.2012
62841,7,8,8,2,2011.2012
62842,3,3,3,4,2011.2012
62844,10,14,14,5,2011.2012
62845,9,14,14,4,2011.2012
62846,2,5,2,1,2011.2012
62847,11,15,15,5,2011.2012
62848,4,7,4,5,2011.2012
62849,12,15,15,4,2011.2012
62850,12,15,15,5,2011.2012
62853,7,7,7,3,2011.2012
62854,5,6,6,5,2011.2012
62855,8,14,14,4,2011.2012
62858,11,14,14,5,2011.2012
62859,4,7,7,3,2011.2012
62860,6,6,6,3,2011.2012
62863,4,5,5,3,2011.2012
62864,1,1,1,4,2011.2012
62865,4,4,4,3,2011.2012
62866,1,1,1,4,2011.2012
62867,4,5,5,3,2011.2012
62868,6,6,6,4,2011.2012
62869,12,15,15,5,2011.2012
62870,4,4,4,1,2011.2012
62872,11,15,15,4,2011.2012
62873,9,10,10,2,2011.2012
62874,7,6,6,1,2011.2012
62875,8,8,8,4,2011.2012
62876,4,7,7,4,2011.2012
62877,1,1,1,3,2011.2012
62878,4,5,5,4,2011.2012
62879,7,8,8,2,2011.2012
62880,6,7,7,1,2011.2012
62883,6,7,7,4,2011.2012
62884,2,3,1,3,2011.2012
62885,9,15,15,4,2011.2012
62886,7,8,8,5,2011.2012
62888,3,4,4,2,2011.2012
62889,8,8,8,4,2011.2012
62890,12,15,15,5,2011.2012
62892,2,4,4,4,2011.2012
62893,6,6,6,2,2011.2012
62894,9,7,7,3,2011.2012
62895,12,15,15,5,2011.2012
62896,6,10,10,4,2011.2012
62897,11,10,10,5,2011.2012
62898,6,7,7,2,2011.2012
62900,6,6,6,3,2011.2012
62901,12,15,15,4,2011.2012
62902,6,5,5,4,2011.2012
62904,7,8,8,3,2011.2012
62907,3,5,5,1,2011.2012
62908,7,7,7,1,2011.2012
62910,6,10,10,2,2011.2012
62911,7,8,8,1,2011.2012
62912,8,8,8,3,2011.2012
62913,4,4,4,5,2011.2012
62914,3,1,1,3,2011.2012
62915,3,99,3,4,2011.2012
62916,3,4,4,2,2011.2012
62918,4,6,6,4,2011.2012
62919,2,1,1,1,2011.2012
62921,5,8,8,5,2011.2012
62922,5,6,6,4,2011.2012
62923,4,12,4,4,2011.2012
62924,3,3,3,1,2011.2012
62925,2,2,2,2,2011.2012
62926,6,6,6,1,2011.2012
62927,7,15,15,4,2011.2012
62928,5,6,6,2,2011.2012
62930,3,4,4,4,2011.2012
62931,9,14,14,4,2011.2012
62932,10,15,15,4,2011.2012
62933,4,9,9,3,2011.2012
62934,7,7,7,2,2011.2012
62936,7,5,5,3,2011.2012
62938,4,6,6,3,2011.2012
62939,8,7,7,4,2011.2012
62940,12,15,15,5,2011.2012
62942,11,15,15,5,2011.2012
62943,7,14,14,2,2011.2012
62944,5,7,7,4,2011.2012
62945,12,15,15,3,2011.2012
62946,2,2,2,2,2011.2012
62947,2,4,4,1,2011.2012
62948,12,15,15,4,2011.2012
62949,11,14,14,3,2011.2012
62950,8,14,14,4,2011.2012
62951,12,15,15,3,2011.2012
62952,11,15,15,3,2011.2012
62953,11,14,14,3,2011.2012
62954,3,2,2,5,2011.2012
62955,12,15,15,5,2011.2012
62958,12,15,15,3,2011.2012
62959,12,15,15,5,2011.2012
62960,6,6,6,2,2011.2012
62962,2,2,2,2,2011.2012
62963,7,6,6,4,2011.2012
62965,2,2,2,2,2011.2012
62966,4,3,3,4,2011.2012
62968,4,3,3,1,2011.2012
62969,3,10,10,5,2011.2012
62970,3,3,3,2,2011.2012
62971,5,15,15,5,2011.2012
62972,6,4,4,4,2011.2012
62974,10,9,9,5,2011.2012
62976,11,14,14,5,2011.2012
62978,10,14,14,2,2011.2012
62979,4,4,4,3,2011.2012
62980,4,5,5,4,2011.2012
62981,11,15,15,5,2011.2012
62982,4,3,3,3,2011.2012
62983,5,6,6,2,2011.2012
62984,5,7,7,3,2011.2012
62986,6,8,8,3,2011.2012
62987,7,7,7,4,2011.2012
62988,7,14,14,2,2011.2012
62989,12,15,15,4,2011.2012
62990,9,9,9,3,2011.2012
62991,7,8,8,5,2011.2012
62992,6,4,4,4,2011.2012
62993,10,14,14,2,2011.2012
62994,11,15,15,4,2011.2012
62995,4,6,6,2,2011.2012
62996,9,8,8,1,2011.2012
62997,4,3,3,4,2011.2012
62999,11,15,15,5,2011.2012
63000,1,2,2,5,2011.2012
63001,3,3,3,3,2011.2012
63004,12,15,15,5,2011.2012
63005,2,5,5,1,2011.2012
63006,11,10,10,3,2011.2012
63007,8,7,7,3,2011.2012
63008,12,15,15,3,2011.2012
63009,10,10,10,3,2011.2012
63010,7,7,7,5,2011.2012
63011,12,15,15,5,2011.2012
63012,8,10,10,4,2011.2012
63013,9,14,14,5,2011.2012
63014,8,8,8,4,2011.2012
63015,7,7,7,5,2011.2012
63016,3,3,3,1,2011.2012
63017,5,4,4,1,2011.2012
63018,10,4,4,5,2011.2012
63019,3,3,3,4,2011.2012
63020,6,6,6,2,2011.2012
63021,8,7,7,3,2011.2012
63022,10,14,14,1,2011.2012
63023,3,6,3,4,2011.2012
63025,5,5,5,3,2011.2012
63026,11,15,15,5,2011.2012
63027,7,6,6,2,2011.2012
63028,7,8,8,1,2011.2012
63030,1,3,3,2,2011.2012
63031,4,6,6,1,2011.2012
63033,12,15,15,5,2011.2012
63034,1,4,4,3,2011.2012
63035,7,6,6,3,2011.2012
63036,2,2,2,1,2011.2012
63037,3,5,5,1,2011.2012
63038,10,6,6,4,2011.2012
63039,7,6,6,1,2011.2012
63041,12,15,15,5,2011.2012
63042,12,15,15,4,2011.2012
63044,7,10,10,5,2011.2012
63045,7,8,8,2,2011.2012
63046,1,6,6,5,2011.2012
63047,6,6,6,4,2011.2012
63048,11,10,10,5,2011.2012
63049,6,6,6,1,2011.2012
63050,10,10,10,1,2011.2012
63051,11,14,14,5,2011.2012
63052,6,7,7,5,2011.2012
63053,1,3,3,2,2011.2012
63054,7,15,15,3,2011.2012
63056,3,7,3,4,2011.2012
63057,7,6,6,4,2011.2012
63058,12,15,15,5,2011.2012
63059,4,6,6,3,2011.2012
63060,5,5,5,2,2011.2012
63061,6,7,7,4,2011.2012
63062,3,5,5,5,2011.2012
63063,7,6,6,2,2011.2012
63064,3,3,3,1,2011.2012
63065,3,4,4,1,2011.2012
63066,8,8,8,4,2011.2012
63068,1,4,4,2,2011.2012
63069,1,6,2,4,2011.2012
63070,5,6,6,3,2011.2012
63071,4,6,6,5,2011.2012
63072,5,5,5,4,2011.2012
63073,5,6,6,4,2011.2012
63076,3,2,2,3,2011.2012
63077,12,15,15,5,2011.2012
63079,9,14,14,4,2011.2012
63080,4,3,3,4,2011.2012
63081,6,7,7,3,2011.2012
63082,2,4,2,2,2011.2012
63083,7,7,7,4,2011.2012
63085,2,2,2,2,2011.2012
63086,12,15,15,4,2011.2012
63087,5,14,6,4,2011.2012
63088,8,10,10,4,2011.2012
63089,11,15,15,5,2011.2012
63090,6,6,6,4,2011.2012
63091,7,15,8,4,2011.2012
63092,3,6,6,3,2011.2012
63093,1,7,1,4,2011.2012
63094,6,7,7,5,2011.2012
63095,8,9,9,3,2011.2012
63097,7,7,7,3,2011.2012
63098,11,14,14,4,2011.2012
63099,7,8,8,1,2011.2012
63100,5,5,5,4,2011.2012
63101,6,6,6,4,2011.2012
63102,3,5,5,2,2011.2012
63103,12,15,15,3,2011.2012
63104,10,15,15,5,2011.2012
63105,3,3,3,5,2011.2012
63106,3,3,3,2,2011.2012
63107,3,3,3,1,2011.2012
63108,3,4,4,4,2011.2012
63109,9,14,14,2,2011.2012
63110,9,14,14,4,2011.2012
63111,7,8,8,2,2011.2012
63112,6,6,6,1,2011.2012
63113,8,8,8,3,2011.2012
63114,8,9,9,5,2011.2012
63115,10,4,4,5,2011.2012
63116,10,8,8,5,2011.2012
63117,3,8,5,4,2011.2012
63118,7,7,7,5,2011.2012
63119,12,15,15,5,2011.2012
63120,9,14,14,4,2011.2012
63121,11,15,15,4,2011.2012
63122,6,6,6,4,2011.2012
63123,2,2,2,3,2011.2012
63124,7,9,9,5,2011.2012
63125,7,7,7,4,2011.2012
63126,12,15,15,5,2011.2012
63127,11,14,14,4,2011.2012
63128,4,6,5,2,2011.2012
63129,6,6,6,2,2011.2012
63132,12,15,15,5,2011.2012
63133,7,8,8,2,2011.2012
63134,4,4,4,3,2011.2012
63135,4,7,7,5,2011.2012
63136,7,7,7,3,2011.2012
63137,12,15,15,5,2011.2012
63138,4,4,4,4,2011.2012
63139,3,3,3,4,2011.2012
63141,10,10,10,3,2011.2012
63142,11,10,10,5,2011.2012
63143,4,4,4,4,2011.2012
63144,6,7,7,1,2011.2012
63145,5,5,5,3,2011.2012
63146,3,3,3,2,2011.2012
63147,5,6,6,4,2011.2012
63148,6,6,4,3,2011.2012
63149,9,9,9,3,2011.2012
63150,12,15,15,5,2011.2012
63151,6,7,6,2,2011.2012
63152,1,5,1,3,2011.2012
63153,3,2,2,3,2011.2012
63154,4,6,6,1,2011.2012
63156,7,8,8,4,2011.2012
63157,5,4,4,4,2011.2012
63159,1,4,4,4,2011.2012
63160,3,5,5,3,2011.2012
63162,8,8,8,4,2011.2012
63164,12,15,15,5,2011.2012
63166,4,4,4,4,2011.2012
63168,8,14,14,4,2011.2012
63170,7,7,7,2,2011.2012
63171,5,5,5,4,2011.2012
63172,5,6,6,2,2011.2012
63173,5,7,7,5,2011.2012
63174,8,14,14,5,2011.2012
63175,7,5,5,2,2011.2012
63176,4,4,4,4,2011.2012
63177,11,10,10,5,2011.2012
63178,8,8,8,1,2011.2012
63179,7,8,8,1,2011.2012
63180,12,15,15,5,2011.2012
63181,5,8,8,4,2011.2012
63182,8,15,8,4,2011.2012
63183,4,4,4,2,2011.2012
63184,12,15,15,5,2011.2012
63185,3,3,3,3,2011.2012
