SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
62330,1,2,2,2,2,2,2,2,2,10,4.89,3,2,14,14,5,2,33,5,2011.2012
62331,1,2,2,2,1,2,2,1,1,11,3.49,3,1,14,14,3.94,1,43,4,2011.2012
62332,1,2,2,2,2,2,2,2,2,4,1.11,1,1,4,4,1.06,1,22,4,2011.2012
62334,2,2,1,2,2,1,2,2,1,5,0.94,1,1,5,5,0.87,1,38,2,2011.2012
62335,1,1,2,2,2,2,2,1,2,11,3.9,3,1,14,14,3.69,1,49,4,2011.2012
62336,1,2,2,2,2,2,2,2,2,3,0.75,1,1,10,10,3.67,2,56,4,2011.2012
62337,1,2,2,2,2,2,2,2,2,8,1.42,2,2,7,7,1.04,2,37,1,2011.2012
62338,1,2,2,2,2,2,1,2,2,4,0.58,1,2,5,5,0.68,1,19,4,2011.2012
62339,1,2,2,2,2,2,2,1,2,10,2.95,3,1,15,15,5,1,29,4,2011.2012
62340,1,2,2,2,2,2,2,1,2,5,1.04,1,1,6,6,1.28,1,44,4,2011.2012
62341,1,2,2,2,2,2,2,2,2,8,2.46,3,1,7,7,2.16,1,28,2,2011.2012
62342,1,1,2,2,2,2,2,2,2,5,0.89,1,2,8,8,1.85,1,41,3,2011.2012
62343,1,2,1,2,2,1,2,2,1,4,0.69,1,1,5,5,0.76,1,50,4,2011.2012
62345,1,1,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,36,4,2011.2012
62346,2,2,2,2,2,2,2,2,1,1,0.22,1,1,99,1,0.22,2,19,4,2011.2012
62347,1,1,1,2,2,2,1,2,2,3,1.15,1,2,3,3,1.21,1,71,3,2011.2012
62348,2,2,2,2,2,2,2,2,1,9,1.94,3,2,7,7,1.19,1,38,3,2011.2012
62349,1,2,2,2,2,2,2,2,2,5,1.63,2,2,8,5,1.5,1,23,4,2011.2012
62350,1,2,2,2,2,2,2,2,2,6,1.96,3,2,7,7,2.72,1,43,3,2011.2012
62351,1,2,2,2,2,2,2,2,2,6,1.15,1,1,5,5,0.92,1,30,4,2011.2012
62352,1,2,2,2,2,1,2,2,2,7,0.85,1,2,8,8,1.1,1,58,3,2011.2012
62353,2,2,1,2,1,2,2,1,2,8,3.17,3,1,15,15,5,1,79,5,2011.2012
62354,1,2,2,2,2,2,2,1,1,8,2.83,3,2,8,8,2.72,1,43,1,2011.2012
62355,1,2,2,2,2,2,2,1,2,8,2.15,3,2,7,7,1.79,2,45,2,2011.2012
62357,1,2,2,2,2,2,2,1,1,12,5,3,1,15,15,5,1,36,4,2011.2012
62359,1,2,2,2,2,2,2,2,2,8,1.42,2,2,7,7,1.04,2,37,1,2011.2012
62360,1,2,2,2,2,2,2,2,2,7,1.24,1,1,7,7,1.04,1,37,3,2011.2012
62361,2,2,2,2,2,2,2,2,1,2,0.21,1,1,1,1,0.21,1,26,3,2011.2012
62362,1,2,2,2,2,2,2,2,2,6,1,1,2,6,6,1,1,60,2,2011.2012
62364,1,2,2,2,2,2,2,2,2,8,2.08,3,2,8,8,2.17,1,40,2,2011.2012
