Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,Savings_Over5000,TotalSavings
152,62312,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,9.0,2.22,3.0,1.0,
153,62313,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.69,1.0,2.0,1.0
154,62314,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.01,1.0,2.0,1.0
155,62315,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,99.0,,9.0,9.0,
156,62316,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.81,1.0,2.0,1.0
157,62317,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0
158,62318,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.46,1.0,2.0,1.0
159,62319,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.09,1.0,2.0,1.0
160,62320,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,8.0,3.26,3.0,,
161,62321,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.56,3.0,,
162,62322,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.41,1.0,2.0,1.0
163,62323,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,77.0,,1.0,2.0,1.0
164,62324,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.14,1.0,2.0,1.0
165,62325,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.41,1.0,2.0,1.0
166,62326,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.24,1.0,,
167,62327,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.67,1.0,2.0,1.0
168,62328,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.06,3.0,,
169,62329,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.53,1.0,2.0,1.0
170,62330,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,4.89,3.0,,
171,62331,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,11.0,3.49,3.0,,
172,62332,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.11,1.0,2.0,1.0
173,62333,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
174,62334,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.94,1.0,2.0,2.0
175,62335,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,3.9,3.0,,
176,62336,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.75,1.0,,
177,62337,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.42,2.0,2.0,1.0
178,62338,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,0.58,1.0,2.0,1.0
179,62339,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.95,3.0,,
180,62340,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.04,1.0,1.0,
181,62341,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.46,3.0,,
182,62342,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.89,1.0,2.0,1.0
183,62343,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,0.69,1.0,2.0,1.0
184,62344,,,,,,,,,,,,,,
185,62345,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
186,62346,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.22,1.0,2.0,1.0
187,62347,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.15,1.0,2.0,2.0
188,62348,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,1.94,3.0,2.0,1.0
189,62349,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.63,2.0,2.0,1.0
190,62350,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.96,3.0,,
191,62351,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.15,1.0,2.0,1.0
192,62352,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,0.85,1.0,2.0,1.0
193,62353,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,3.17,3.0,,
194,62354,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,2.83,3.0,,
195,62355,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,2.15,3.0,2.0,3.0
196,62356,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,77.0,,3.0,1.0,
197,62357,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,5.0,3.0,,
198,62358,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,2.2,3.0,,
199,62359,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.42,2.0,2.0,1.0
200,62360,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.24,1.0,7.0,
201,62361,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.21,1.0,2.0,1.0
202,62362,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0
203,62363,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,1.34,2.0,9.0,
204,62364,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.08,3.0,,
205,62365,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,4.89,3.0,,
206,62366,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.67,2.0,2.0,1.0
207,62367,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,3.49,3.0,,
208,62368,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.83,1.0,2.0,1.0
209,62369,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.38,2.0,2.0,1.0
210,62370,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,3.78,3.0,,
211,62371,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,4.89,3.0,,
212,62372,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.07,1.0,,
213,62373,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.31,1.0,2.0,1.0
214,62374,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.59,1.0,2.0,1.0
215,62375,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,0.78,1.0,2.0,1.0
216,62376,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.92,1.0,2.0,1.0
217,62377,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.24,1.0,2.0,1.0
218,62378,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,4.51,3.0,,
219,62379,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,10.0,3.22,3.0,,
220,62380,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.22,3.0,,
221,62381,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.74,1.0,2.0,1.0
222,62382,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,0.34,1.0,2.0,1.0
223,62383,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,4.41,3.0,,
